PERATION_ID,TYPE,USER_ID,PRODUCTION,CONSUME,CONSUME_OTHERS,USER_VOLUME,USER_DENSITY,USER_ROLE,FILE_ID,FILE_SIZE,TOPIC_ID,TOPIC_VOLUME,TOPIC_DENSITY,TOPIC_ROLE
1,upload,43114731,0.011119759813188036,0.0,0.23351495607694875,1764,9.966666668653488,Gamma,100,4,17,5167328,47838.2333265692,Alpha
2,download,1405534545,0.0,0.022239519626376072,0.0,0,0.0,null,100,4,17,5167328,47838.2333265692,Alpha
2,download,1405534545,0.0,0.022239519626376072,0.0,0,0.0,null,100,4,17,5167328,47838.2333265692,Alpha
3,download,640881322,0.0,0.011119759813188036,0.0,0,0.0,null,100,4,17,5167328,47838.2333265692,Alpha
4,download,1416963334,0.0,0.011119759813188036,0.0,0,0.0,null,100,4,17,5167328,47838.2333265692,Alpha
5,download,2189419908,0.0,0.033359279439564106,0.0,0,0.0,null,100,4,17,5167328,47838.2333265692,Alpha
5,download,2189419908,0.0,0.033359279439564106,0.0,0,0.0,null,100,4,17,5167328,47838.2333265692,Alpha
5,download,2189419908,0.0,0.033359279439564106,0.0,0,0.0,null,100,4,17,5167328,47838.2333265692,Alpha
6,download,1664876423,0.0,0.011119759813188036,0.0,0,0.0,null,100,4,17,5167328,47838.2333265692,Alpha
7,download,242461431,0.0,0.011119759813188036,0.0,0,0.0,null,100,4,17,5167328,47838.2333265692,Alpha
8,download,2154517987,0.0,0.011119759813188036,0.0,0,0.0,null,100,4,17,5167328,47838.2333265692,Alpha
9,download,8009487,0.0,0.011119759813188036,0.0,0,0.0,null,100,4,17,5167328,47838.2333265692,Alpha
10,download,1286978309,0.0,0.011119759813188036,0.0,0,0.0,null,100,4,17,5167328,47838.2333265692,Alpha
11,download,1253966502,0.0,0.011119759813188036,0.0,0,0.0,null,100,4,17,5167328,47838.2333265692,Alpha
12,download,1115502027,0.0,0.011119759813188036,0.0,0,0.0,null,100,4,17,5167328,47838.2333265692,Alpha
13,download,333539626,0.0,0.011119759813188036,0.0,0,0.0,null,100,4,17,5167328,47838.2333265692,Alpha
14,download,655536053,0.0,0.011119759813188036,0.0,0,0.0,null,100,4,17,5167328,47838.2333265692,Alpha
15,download,342403943,0.0,0.011119759813188036,0.0,0,0.0,null,100,4,17,5167328,47838.2333265692,Alpha
16,download,185066047,0.0,0.011119759813188036,0.0,0,0.0,null,100,4,17,5167328,47838.2333265692,Alpha
